CVE,DESCRIP
K074,Maloclusión de tipo no especificado
K075,Anomalías dentofaciales funcionales
K076,Trastornos de la articulación temporomaxilar
K078,Otras anomalías dentofaciales
K079,"Anomalía dentofacial, no especificada"
K080,Exfoliación de los dientes debida a causas sistémicas
K081,"Perdida de dientes debida a accidente, extracción o enfermedad periodontal local"
K082,Atrofia del reborde alveolar desdentado
K083,Raíz dental retenida
K088,Otras afecciones especificadas de los dientes y de sus estructuras de sostén
K089,"Trastorno de los dientes y de sus estructuras de sostén, no especificado"
K090,Quistes originados por el desarrollo de los dientes
K091,Quistes de las fisuras de la región oral (no odontogénicos)
K092,Otros quistes de los maxilares
K098,"Otros quistes de la región bucal, no clasificados en otra parte"
K099,"Quiste de la región bucal, sin otra especificación"
K100,Trastornos del desarrollo de los maxilares
K101,Granuloma central de células gigantes
K102,Afecciones inflamatorias de los maxilares
K103,Alveolitis del maxilar
K108,Otras enfermedades especificadas de los maxilares
K109,"Enfermedad de los maxilares, no especificada"
K110,Atrofia de glándula salival
K111,Hipertrofia de glándula salival
K112,Sialadenitis
K113,Absceso de glándula salival
K114,Fístula de glándula salival
K115,Sialolitiasis
K116,Mucocele de glándula salival
K117,Alteraciones de la secreción salival
K118,Otras enfermedades de las glándulas salivales
K119,"Enfermedad de glándula salival, no especificada"
K120,Estomatitis aftosa recurrente
K121,Otras formas de estomatitis
K122,Celulitis y absceso de boca
K123,Mucositis oral (ulcerativa)
K130,Enfermedades de los labios
K131,Mordedura del labio y de la mejilla
K132,"Leucoplasia y otras alteraciones del epitelio bucal, incluyendo la lengua"
K133,Leucoplasia pilosa
K134,Granuloma y lesiones semejantes de la mucosa bucal
K135,Fibrosis de la submucosa bucal
K136,Hiperplasia irritativa de la mucosa bucal
K137,Otras lesiones y las no especificadas de la mucosa bucal
K140,Glositis
K141,Lengua geográfica
K142,Glositis romboidea mediana
K143,Hipertrofia de las papilas linguales
K144,Atrofia de las papilas linguales
K145,Lengua plegada
K146,Glosodinia
K148,Otras enfermedades de la lengua
K149,"Enfermedad de la lengua, no especificada"
K20X,Esofagitis
K210,Enfermedad del reflujo gastroesofágico con esofagitis
K219,Enfermedad del reflujo gastroesofágico sin esofagitis
K220,Acalasia del cardias
K221,Úlcera del esófago
K222,Obstrucción del esófago
K223,Perforación del esófago
K224,Disquinesia del esófago
K225,"Divertículo del esófago, adquirido"
K226,Síndrome de laceración y hemorragia gastroesofágicas
K227,Esófago de Barrett
K228,Otras enfermedades especificadas del esófago
K229,"Enfermedad del esófago, no especificada"
K230,Esofagitis tuberculosa
K231,Megaesófago en la enfermedad de Chagas
K238,Trastornos del esófago en otras enfermedades clasificadas en otra parte
K250,"Úlcera gástrica, aguda con hemorragia"
K251,"Úlcera gástrica, aguda con perforación"
K252,"Úlcera gástrica, aguda con hemorragia y perforación"
K253,"Úlcera gástrica, aguda sin hemorragia ni perforación"
K254,"Úlcera gástrica, crónica o no especificada, con hemorragia"
K255,"Úlcera gástrica, crónica o no especificada, con perforación"
K256,"Úlcera gástrica, crónica o no especificada, con hemorragia y perforación"
K257,"Úlcera gástrica, crónica sin hemorragia ni perforación"
K259,"Úlcera gástrica, no especificada como aguda ni crónica, sin hemorragia ni perforación"
K260,"Úlcera duodenal, aguda con hemorragia"
K261,"Úlcera duodenal, aguda con perforación"
K262,"Úlcera duodenal, aguda con hemorragia y perforación"
K263,"Úlcera duodenal, aguda sin hemorragia ni perforación"
K264,"Úlcera duodenal, crónica o no especificada, con hemorragia"
K265,"Úlcera duodenal, crónica o no especificada, con perforación"
K266,"Úlcera duodenal, crónica o no especificada, con hemorragia y perforación"
K267,"Úlcera duodenal, crónica sin hemorragia ni perforación"
K269,"Úlcera duodenal, no especificada como aguda ni crónica, sin hemorragia ni perforación"
K270,"Úlcera péptica, de sitio no especificado, aguda con hemorragia"
K271,"Úlcera péptica, de sitio no especificado, aguda con perforación"
K272,"Úlcera péptica, de sitio no especificado, aguda con hemorragia y perforación"
K273,"Úlcera péptica, de sitio no especificado, aguda sin hemorragia ni perforación"
K274,"Úlcera péptica, de sitio no especificado, crónica o no especificada, con hemorragia"
K275,"Úlcera péptica, de sitio no especificado, crónica o no especificada, con perforación"
K276,"Úlcera péptica, de sitio no especificado, crónica o no especificada, con hemorragia y perforación"
K277,"Úlcera péptica, de sitio no especificado, crónica sin  hemorragia ni perforación"
K279,"Úlcera péptica, de sitio no especificado, no especificada como aguda ni crónica, sin  hemorragia ni perforación"
K280,"Úlcera gastroyeyunal, aguda con hemorragia"
K281,"Úlcera gastroyeyunal, aguda con perforación"
K282,"Úlcera gastroyeyunal, aguda con hemorragia y perforación"
K283,"Úlcera gastroyeyunal, aguda sin hemorragia ni perforación"
K284,"Úlcera gastroyeyunal, crónica o no especificada, con hemorragia"
K285,"Úlcera gastroyeyunal, crónica o no especificada, con perforación"
K286,"Úlcera gastroyeyunal, crónica o no especificada, con hemorragia y perforación"
K287,"Úlcera gastroyeyunal, crónica sin hemorragia ni perforación"
K289,"Úlcera gastroyeyunal, no especificada como aguda ni crónica, sin hemorragia ni perforación"
K290,Gastritis aguda hemorrágica
K291,Otras gastritis agudas
K292,Gastritis alcohólica
K293,Gastritis crónica superficial
K294,Gastritis crónica atrófica
K295,"Gastritis crónica, no especificada"
K296,Otras gastritis
K297,"Gastritis, no especificada"
K298,Duodenitis
K299,"Gastroduodenitis, no especificada"
K30X,Dispepsia
K310,Dilatación aguda del estómago
K311,Estenosis pilórica hipertrófica del adulto
K312,Estrechez o estenosis del estómago en reloj de arena
K313,"Espasmo del píloro, no clasificado en otra parte"
K314,Divertículo gástrico
K315,Obstrucción del duodeno
K316,Fístula del estómago y del duodeno
K317,Pólipo del estómago y del duodeno
K318,Otras enfermedades especificadas del estómago y del duodeno
K319,"Enfermedad del estómago y del duodeno, no especificada"
K350,Apendicitis aguda con peritonitis generalizada
K351,Apendicitis aguda con absceso peritoneal
K352,Apendicitis aguda con peritonitis generalizada
K353,Apendicitis aguda con peritonitis localizada
K358,"Otras apendicitis agudas, y las no especificadas"
K359,"Apendicitis aguda, no especificada"
K36X,Otros tipos de apendicitis
K37X,"Apendicitis, no especificada"
K380,Hiperplasia del apéndice
K381,Concreciones apendiculares
K382,Divertículo del apéndice
K383,Fístula del apéndice
K388,Otras enfermedades especificadas del apéndice
K389,"Enfermedad del apéndice, no especificada"
K400,"Hernia inguinal bilateral con obstrucción, sin gangrena"
K401,"Hernia inguinal bilateral, con gangrena"
K402,"Hernia inguinal bilateral, sin obstrucción ni gangrena"
K403,"Hernia inguinal unilateral o no especificada, con obstrucción, sin gangrena"
K404,"Hernia inguinal unilateral o no especificada, con gangrena"
K409,"Hernia inguinal unilateral o no especificada, sin obstrucción ni gangrena"
K410,"Hernia femoral bilateral, con obstrucción, sin gangrena"
K411,"Hernia femoral bilateral, con gangrena"
K412,"Hernia femoral bilateral, sin obstrucción ni gangrena"
K413,"Hernia femoral unilateral o no especificada, con obstrucción, sin gangrena"
K414,"Hernia femoral unilateral o no especificada, con gangrena"
K419,"Hernia femoral unilateral o no especificada, sin obstrucción ni gangrena"
K420,"Hernia umbilical con obstrucción, sin gangrena"
K421,Hernia umbilical con gangrena
K429,Hernia umbilical sin obstrucción ni gangrena
K430,"Hernia incisional con obstrucción, sin gangrena"
K431,Hernia incisional con gangrena
K432,Hernia incisional sin obstrucción o gangrena
K433,"Hernia paraestomal con obstrucción, sin gangrena"
K434,Hernia paraestomal con gangrena
K435,Hernia paraestomal sin obstrucción o gangrena
K436,"Otras hernias ventrales y las no especificadas con obstrucción, sin gangrena"
K437,Otras hernias ventrales y las no especificadas con gangrena
K439,Otras hernias ventral y las no especificadas sin obstrucción o gangrena
K440,"Hernia diafragmática con obstrucción, sin gangrena"
K441,Hernia diafragmática con gangrena
K449,Hernia diafragmática sin obstrucción ni gangrena
K450,"Otras hernias de la cavidad abdominal especificadas, con obstrucción, sin gangrena"
K451,"Otras hernias de la cavidad abdominal especificadas, con gangrena"
K458,"Otras hernias de la cavidad abdominal especificadas, sin obstrucción ni gangrena"
K460,"Hernia abdominal no especificada, con obstrucción, sin gangrena"
K461,"Hernia abdominal no especificada, con gangrena"
K469,"Hernia abdominal no especificada, sin obstrucción ni gangrena"
K500,Enfermedad de Crohn del intestino delgado
K501,Enfermedad de Crohn del intestino grueso
K508,Otros tipos de enfermedad de Crohn
K509,"Enfermedad de Crohn, no especificada"
K510,Pancolitis ulcerativa (crónica)
K511,Ileocolitis (crónica) ulcerativa
K512,Proctitis (crónica) ulcerativa
K513,Rectosigmoiditis (crónica) ulcerativa
K514,Pólipos inflamatorios
K515,Colitis del lado izquierdo
K518,Otras colitis ulcerativas
K519,"Colitis ulcerativa, sin otra especificación"
K520,Colitis y gastroenteritis debidas a radiación
K521,Colitis y gastroenteritis tóxicas
K522,Colitis y gastroenteritis alérgicas y dietéticas
K523,Colitis de etiología indeterminada
K528,Otras colitis y gastroenteritis no infecciosas especificadas
K529,"Colitis y gastroenteritis no infecciosas, no especificadas"
K550,Trastorno vascular agudo de los intestinos
K551,Trastorno vascular crónico del intestino
K552,Angiodisplasia del colon
K558,Otros trastornos vasculares del intestino
K559,"Trastorno vascular del intestino, no especificado"
K560,Íleo paralítico
K561,Invaginación
K562,Vólvulo
K563,Íleo por cálculo biliar
K564,Otras obstrucciones del intestino
K565,Adherencias [bridas] intestinales con obstrucción
K566,Otras obstrucciones intestinales y las no especificadas
K567,"Íleo, no especificado"
K570,Enfermedad diverticular del intestino delgado con perforación y absceso
K571,Enfermedad diverticular del intestino delgado sin perforación ni absceso
K572,Enfermedad diverticular del intestino grueso con perforación y absceso
K573,Enfermedad diverticular del intestino grueso sin perforación ni absceso
K574,Enfermedad diverticular de ambos intestinos con perforación y absceso
K575,"Enfermedad diverticular de ambos intestinos, sin perforación ni absceso"
K578,"Enfermedad diverticular del intestino, parte no especificada, con perforación y absceso"
K579,"Enfermedad diverticular del intestino, parte no especificada, sin perforación ni absceso"
K580,Síndrome del colon irritable con diarrea
K589,Síndrome del colon irritable sin diarrea
K590,Constipación
K591,Diarrea funcional
K592,"Intestino neurogénico, no clasificado en otra parte"
K593,"Megacolon, no clasificado en otra parte"
K594,Espasmo anal
K598,Otros trastornos funcionales especificados del intestino
K599,"Trastorno funcional intestinal, no especificado"
K600,Fisura anal aguda
K601,Fisura anal crónica
K602,"Fisura anal, no especificada"
K603,Fístula anal
K604,Fístula rectal
K605,Fístula anorrectal
K610,Absceso anal
K611,Absceso rectal
K612,Absceso anorrectal
K613,Absceso isquiorrectal
K614,Absceso intraesfinteriano
K620,Pólipo anal
K621,Pólipo rectal
K622,Prolapso anal
K623,Prolapso rectal
K624,Estenosis del ano y del recto
K625,Hemorragia del ano y del recto
K626,Úlcera del ano y del recto
K627,Proctitis por radiación
K628,Otras enfermedades especificadas del ano y del recto
K629,"Enfermedad del ano y del recto, no especificada"
K630,Absceso del intestino
K631,Perforación del intestino (no traumática)
K632,Fístula del intestino
K633,Úlcera del intestino
K634,Enteroptosis
K635,Pólipo del colon
K638,Otras enfermedades especificadas del intestino
K639,"Enfermedad del intestino, no especificada"
K640,Hemorroides de primer grado
K641,Hemorroides de segundo grado
K642,Hemorroides de tercer grado
K643,Hemorroides de cuarto grado
K644,"Marcas residuales en la piel, de hemorroides"
K645,Trombosis venosa perianal
K648,Otras hemorroides especificadas
K649,"Marcas residuales en la piel, de hemorroides"
K650,Peritonitis aguda
K658,Otras peritonitis
K659,"Peritonitis, no especificada"
K660,Adherencias peritoneales
K661,Hemoperitoneo
K668,Otros trastornos especificados del peritoneo
K669,"Trastorno del peritoneo, no especificado"
K670,Peritonitis por clamidias
K671,Peritonitis gonocócica
K672,Peritonitis sifilítica
K673,Peritonitis tuberculosa
K678,Otros trastornos del peritoneo en enfermedades infecciosas clasificadas en otra parte
K700,Hígado alcohólico adiposo
K701,Hepatitis alcohólica
K702,"Fibrosis y esclerosis del hígado, alcohólica"
K703,Cirrosis hepática alcohólica
K704,Insuficiencia hepática alcohólica
K709,"Enfermedad hepática alcohólica, no especificada"
K710,"Enfermedad tóxica del hígado, con colestasis"
K711,Enfermedad tóxica del hígado con necrosis hepática
K712,Enfermedad tóxica del hígado con hepatitis aguda
K713,Enfermedad tóxica del hígado con hepatitis crónica persistente
K714,Enfermedad tóxica del hígado con hepatitis crónica lobular
K715,Enfermedad tóxica del hígado con hepatitis crónica activa
K716,Enfermedad tóxica del hígado con hepatitis no clasificada en otra parte
K717,Enfermedad tóxica del hígado con cirrosis y fibrosis del hígado
K718,Enfermedad tóxica del hígado con otros trastornos hepáticos
K719,"Enfermedad tóxica del hígado, no especificada"
K720,Insuficiencia hepática aguda o subaguda
K721,Insuficiencia hepática crónica
K729,"Insuficiencia hepática, no especificada"
K730,"Hepatitis crónica persistente, no clasificada en otra parte"
K731,"Hepatitis crónica lobular, no clasificada en otra parte"
K732,"Hepatitis crónica activa, no clasificada en otra parte"
K738,"Otras hepatitis crónicas, no clasificadas en otra parte"
K739,"Hepatitis crónica, no especificada"
K740,Fibrosis hepática
K741,Esclerosis hepática
K742,Fibrosis hepática con esclerosis hepática
K743,Cirrosis biliar primaria
K744,Cirrosis biliar secundaria
K745,"Cirrosis biliar, no especificada"
K746,Otras cirrosis del hígado y las no especificadas
K750,Absceso del hígado
K751,Flebitis de la vena porta
K752,Hepatitis reactiva no especificada
K753,"Hepatitis granulomatosa, no clasificada en otra parte"
K754,Hepatitis autoinmune
K758,"Otras enfermedades inflamatorias del hígado, especificadas"
K759,"Enfermedad inflamatoria del hígado, no especificada"
K760,"Degeneración grasa del hígado, no clasificada en otra parte"
K761,Congestión pasiva crónica del hígado
K762,Necrosis hemorrágica central del hígado
K763,Infarto del hígado
K764,Peliosis hepática
K765,Enfermedad veno-oclusiva del hígado
K766,Hipertensión portal
K767,Síndrome hepatorrenal
K768,Otras enfermedades especificadas del hígado
K769,"Enfermedad del hígado, no especificada"
K770,Trastornos del hígado en enfermedades infecciosas y parasitarias clasificadas en otra parte
K778,Trastornos del hígado en otras enfermedades clasificadas en otra parte
K800,Cálculo de la vesícula biliar con colecistitis aguda
K801,Cálculo de la vesícula biliar con otra colecistitis
K802,Cálculo de la vesícula biliar sin colecistitis
K803,Cálculo de conducto biliar con colangitis
K804,Cálculo de conducto biliar con colecistitis
K805,Cálculo de conducto biliar sin colangitis ni colecistitis
K808,Otras colelitiasis
K810,Colecistitis aguda
K811,Colecistitis crónica
K818,Otras colecistitis
K819,"Colecistitis, no especificada"
K820,Obstrucción de la vesícula biliar
K821,Hidropesía de la vesícula biliar
K822,Perforación de la vesícula biliar
K823,Fístula de la vesícula biliar
K824,Colesterolosis de la vesícula biliar
K828,Otras enfermedades especificadas de la vesícula biliar
K829,"Enfermedad de la vesícula biliar, no especificada"
K830,Colangitis
K831,Obstrucción del conducto biliar
K832,Perforación del conducto biliar
K833,Fístula del conducto biliar
K834,Espasmo del esfínter de Oddi
K835,Quiste biliar
K838,Otras enfermedades especificadas de las vías biliares
K839,"Enfermedad de las vías biliares, no especificada"
K850,Pancreatitis idiopática aguda
K851,Pancreatitis biliar aguda
K852,Pancreatitis aguda inducida por alcohol
K853,Pancreatitis aguda inducida por drogas
K858,Otras pancreatitis agudas
K859,"Pancreatitis aguda, no especificada"
K85X,Pancreatitis aguda
K860,Pancreatitis crónica inducida por el alcohol
K861,Otras pancreatitis crónicas
K862,Quiste del páncreas
K863,Seudoquiste del páncreas
K868,Otras enfermedades especificadas del páncreas
K869,"Enfermedad del páncreas, no especificada"
K870,Trastornos de la vesícula biliar y de las vías biliares en enfermedades clasificadas en otra parte
K871,Trastornos del páncreas en enfermedades clasificadas en otra parte
K900,Enfermedad celíaca
K901,Esprue tropical
K902,"Síndrome del asa ciega, no clasificado en otra parte"
K903,Esteatorrea pancreática
K904,"Malabsorción debida a intolerancia, no clasificada en otra parte"
K908,Otros tipos de malabsorción intestinal
K909,"Malabsorción intestinal, no especificada"
K910,Vómito postcirugía gastrointestinal
K911,Síndromes consecutivos a la cirugía gástrica
K912,"Malabsorción postquirúrgica, no clasificada en otra parte"
K913,Obstrucción intestinal postoperatoria
K914,Disfunción de colostomía o enterostomía
K915,Síndrome de postcolecistectomía
K918,"Otros trastornos del sistema digestivo consecutivos a procedimientos, no clasificados en otra parte"
K919,Trastorno no especificado del sistema digestivo consecutivo a procedimientos
K920,Hematemesis
K921,Melena
K922,"Hemorragia gastrointestinal, no especificada"
K928,Otras enfermedades especificadas del sistema digestivo
K929,"Enfermedad del sistema digestivo, no especificada"
K930,"Trastornos tuberculosos del intestino, peritoneo y ganglios mesentéricos"
K931,Megacolon en la enfermedad de Chagas
K938,Trastornos de otros órganos digestivos especificados en enfermedades clasificadas en otra parte
L00X,Síndrome estafilocócico de la piel escaldada
L010,Impétigo [cualquier sitio anatómico] [cualquier organismo]
L011,Impetiginización de otras dermatosis
L020,"Absceso cutáneo, furúnculo y carbunco de la cara"
L021,"Absceso cutáneo, furúnculo y carbunco del cuello"
L022,"Absceso cutáneo, furúnculo y carbunco del tronco"
L023,"Absceso cutáneo, furúnculo y carbunco de glúteos"
L024,"Absceso cutáneo, furúnculo y carbunco de miembro"
L028,"Absceso cutáneo, furúnculo y carbunco de otros sitios"
L029,"Absceso cutáneo, furúnculo y carbunco de sitio no especificado"
L030,Celulitis de los dedos de la mano y del pie
L031,Celulitis de otras partes de los miembros
L032,Celulitis de la cara
L033,Celulitis del tronco
L038,Celulitis de otros sitios
L039,Celulitis de sitio no especificado
L040,"Linfadenitis aguda de cara, cabeza y cuello"
L041,Linfadenitis aguda del tronco
L042,Linfadenitis aguda del miembro superior
L043,Linfadenitis aguda del miembro inferior
L048,Linfadenitis aguda de otros sitios
L049,Linfadenitis aguda de sitio no especificado
L050,Quiste pilonidal con absceso
L059,Quiste pilonidal sin absceso
L080,Pioderma
L081,Eritrasma
L088,Otras infecciones locales especificadas de la piel y del tejido subcutáneo
L089,"Infección local de la piel y del tejido subcutáneo, no especificada"
L100,Pénfigo vulgar
L101,Pénfigo vegetante
L102,Pénfigo foliáceo
L103,Pénfigo brasileño [fogo selvagem]
L104,Pénfigo eritematoso
L105,Pénfigo inducido por drogas
L108,Otros pénfigos
L109,"Pénfigo, no especificado"
L110,Queratosis folicular adquirida
L111,Dermatosis acantolítica transitoria [Grover]
L118,Otros trastornos acantolíticos especificados
L119,"Trastorno acantolítico, no especificado"
L120,Penfigoide flictenular
L121,Penfigoide cicatricial
L122,Enfermedad flictenular crónica de la infancia
L123,Epidermólisis bullosa adquirida
L128,Otros penfigoides
L129,"Penfigoide, no especificado"
L130,Dermatitis herpetiforme
L131,Dermatitis pustulosa subcorneal
L138,Otros trastornos flictenulares especificados
L139,"Trastorno flictenular, no especificado"
L14X,Trastornos flictenulares en enfermedades clasificadas en otra parte
L200,Prurigo de Besnier
L208,Otras dermatitis atópicas
L209,"Dermatitis atópica, no especificada"
L210,Seborrea capitis
L211,Dermatitis seborreica infantil
L218,Otras dermatitis seborreicas
L219,"Dermatitis seborreica, no especificada"
L22X,Dermatitis del pañal
L230,Dermatitis alérgica de contacto debida a metales
L231,Dermatitis alérgica de contacto debida a adhesivos
L232,Dermatitis alérgica de contacto debida a cosméticos
L233,Dermatitis alérgica de contacto debida a drogas en contacto con la piel
L234,Dermatitis alérgica de contacto debida a colorantes
L235,Dermatitis alérgica de contacto debida a otros productos químicos
L236,Dermatitis alérgica de contacto debida a alimentos en contacto con la piel
L237,"Dermatitis alérgica de contacto debida a plantas, excepto las alimenticias"
L238,Dermatitis alérgica de contacto debida a otros agentes
L239,"Dermatitis alérgica de contacto, de causa no especificada"
L240,"Dermatitis de contacto por irritantes, debida a detergentes"
L241,"Dermatitis de contacto por irritantes, debida a aceites y grasas"
L242,"Dermatitis de contacto por irritantes, debida a disolventes"
L243,"Dermatitis de contacto por irritantes, debida a cosméticos"
L244,"Dermatitis de contacto por irritantes, debida a drogas en contacto con la piel"
L245,"Dermatitis de contacto por irritantes, debida a otros productos químicos"
L246,"Dermatitis de contacto por irritantes, debida a alimentos en contacto con la piel"
L247,"Dermatitis de contacto por irritantes, debida a plantas, excepto las alimenticias"
L248,"Dermatitis de contacto por irritantes, debida a otros agentes"
L249,"Dermatitis de contacto por irritantes, de causa no especificada"
L250,"Dermatitis de contacto, forma no especificada, debida a cosméticos"
L251,"Dermatitis de contacto, forma no especificada, debida a drogas en contacto con la piel"
L252,"Dermatitis de contacto, forma no especificada, debida a colorantes"
L253,"Dermatitis de contacto, forma no especificada, debida a otros productos químicos"
L254,"Dermatitis de contacto, forma no especificada, debida a alimentos en contacto con la piel"
L255,"Dermatitis de contacto, forma no especificada, debida a plantas, excepto las alimenticias"
L258,"Dermatitis de contacto, forma no especificada, debida a otros agentes"
L259,"Dermatitis de contacto, forma y causa no especificadas"
L26X,Dermatitis exfoliativa
L270,Erupción cutánea generalizada debida a drogas y medicamentos
L271,Erupción cutánea localizada debida a drogas y medicamentos
L272,Dermatitis debida a ingestión de alimentos
L278,Dermatitis debida a otras sustancias ingeridas
L279,Dermatitis debida a sustancias ingeridas no especificadas
L280,Liquen simple crónico
L281,Prurigo nodular
L282,Otros prurigos
L290,Prurito anal
L291,Prurito escrotal
L292,Prurito vulvar
L293,"Prurito anogenital, no especificado"
L298,Otros pruritos
L299,"Prurito, no especificado"
L300,Dermatitis numular
L301,Dishidrosis [ponfólix]
L302,Autosensibilización cutánea
L303,Dermatitis infecciosa
L304,Eritema intertrigo
L305,Pitiriasis alba
L308,Otras dermatitis especificadas
L309,"Dermatitis, no especificada"
L400,Psoriasis vulgar
L401,Psoriasis pustulosa generalizada
L402,Acrodermatitis continua
L403,Pustulosis palmar y plantar
L404,Psoriasis guttata
L405,Artropatía psoriásica
L408,Otras psoriasis
L409,"Psoriasis, no especificada"
L410,Pitiriasis liquenoide y varioliforme aguda
L411,Pitiriasis liquenoide crónica
L412,Papulosis linfomatoide
L413,Parapsoriasis en placas pequeñas
L414,Parapsoriasis en placas grandes
L415,Parapsoriasis retiforme
L418,Otras parapsoriasis
L419,"Parapsoriasis, no especificada"
L42X,Pitiriasis rosada
L430,Liquen plano hipertrófico
L431,Liquen plano flictenular
L432,Reacción liquenoide debida a drogas
L433,Liquen plano subagudo (activo)
L438,Otros líquenes planos
L439,"Liquen plano, no especificado"
L440,Pitiriasis rubra pilaris
L441,Liquen nítido
L442,Liquen estriado
L443,Liquen rojo moniliforme
L444,Acrodermatitis papular infantil [Giannotti-Crosti]
L448,Otros trastornos papuloescamosos especificados
L449,"Trastorno papuloescamoso, no especificado"
L45X,Trastornos papuloescamosos en enfermedades clasificadas en otra parte
L500,Urticaria alérgica
L501,Urticaria idiopática
L502,Urticaria debida al calor y al frío
L503,Urticaria dermatográfica
L504,Urticaria vibratoria
L505,Urticaria colinérgica
L506,Urticaria por contacto
L508,Otras urticarias
L509,"Urticaria, no especificada"
L510,Eritema multiforme no flictenular
L511,Eritema multiforme flictenular
L512,Necrólisis epidérmica tóxica [Lyell]
L518,Otros eritemas multiformes
L519,"Eritema multiforme, no especificado"
L52X,Eritema nudoso
L530,Eritema tóxico
L531,Eritema anular centrífugo
L532,Eritema marginado
L533,Otros eritemas figurados crónicos
L538,Otras afecciones eritematosas especificadas
L539,"Afección eritematosa, no especificada"
L540,Eritema marginado en la fiebre reumática aguda
L548,Eritema en otras enfermedades clasificadas en otra parte
L550,Quemadura solar de primer grado
L551,Quemadura solar de segundo grado
L552,Quemadura solar de tercer grado
L558,Otras quemaduras solares
L559,"Quemadura solar, no especificada"
L560,Respuesta fototóxica a drogas
L561,Respuesta fotoalérgica a drogas
L562,Dermatitis por fotocontacto [dermatitis de berloque]
L563,Urticaria solar
L564,Erupción polimorfa a la luz
L568,Otros cambios agudos especificados de la piel debidos a radiación ultravioleta
L569,"Cambio agudo de la piel debido a radiación ultravioleta, sin otra especificación"
L570,Queratosis actínica
L571,Reticuloide actínico
L572,Piel romboidal de la nuca
L573,Poiquilodermia de Civatte
L574,Piel laxa senil
L575,Granuloma actínico
L578,Otros cambios de la piel debidos a exposición crónica a radiación no ionizante
L579,"Cambios de la piel debidos a exposición crónica a radiación no ionizante, sin otra especificación"
L580,Radiodermatitis aguda
L581,Radiodermatitis crónica
L589,"Radiodermatitis, no especificada"
L590,Eritema ab igne [dermatitis ab igne]
L598,Otros trastornos especificados de la piel y del tejido subcutáneo relacionados con radiación
L599,Trastornos no especificados de la piel y del tejido subcutáneo relacionados con radiación
L600,Uña encarnada
L601,Onicólisis
L602,Onicogriposis
L603,Distrofia ungueal
L604,Líneas de Beau
L605,Síndrome de la uña amarilla
L608,Otros trastornos de las uñas
L609,"Trastorno de la uña, no especificado"
L620,Uña deforme de la paquidermoperiostosis
L628,Trastornos de las uñas en otras enfermedades clasificadas en otra parte
L630,Alopecia (capitis) total
L631,Alopecia universal
L632,Ofiasis
L638,Otras alopecias areatas
L639,"Alopecia areata, no especificada"
L640,"Alopecia andrógena, inducida por drogas"
L648,Otras alopecias andrógenas
L649,"Alopecia andrógena, no especificada"
L650,Pérdida capilar telógena
L651,Pérdida capilar anágena
L652,Alopecia mucinosa
L658,Otras pérdidas especificadas no cicatriciales del pelo
L659,"Perdida no cicatricial del pelo, sin otra especificación"
L660,Seudopelada
L661,Liquen plano pilaris
L662,Foliculitis decalvante
L663,Perifoliculitis capitis abscedens
L664,Foliculitis uleritematosa reticulada
L668,Otras alopecias cicatriciales
L669,"Alopecia cicatricial, no especificada"
L670,Tricorrexis nudosa
L671,Variación del color del pelo
L678,Otras anormalidades del tallo y del color del pelo
L679,Anormalidad no especificada del tallo y del color del pelo
L680,Hirsutismo
L681,Hipertricosis lanuginosa adquirida
L682,Hipertricosis localizada
L683,Politriquia
L688,Otras hipertricosis
L689,"Hipertricosis, no especificada"
L700,Acné vulgar
L701,Acné conglobado
L702,Acné varioliforme
L703,Acné tropical
L704,Acné infantil
L705,Acné excoriado de la mujer joven
L708,Otros acnés
L709,"Acné, no especificado"
L710,Dermatitis peribucal
L711,Rinofima
L718,Otras rosáceas
L719,"Rosácea, no especificada"
L720,Quiste epidérmico
L721,Quiste tricodérmico
L722,Esteatocistoma múltiple
L728,Otros quistes foliculares de la piel y del tejido subcutáneo
L729,"Quiste folicular de la piel y del tejido subcutáneo, sin otra especificación"
L730,Acné queloide
L731,Seudofoliculitis de la barba
L732,Hidradenitis supurativa
L738,Otros trastornos foliculares especificados
L739,"Trastorno folicular, no especificado"
L740,Miliaria rubra
L741,Miliaria cristalina
L742,Miliaria profunda
L743,"Miliaria, no especificada"
L744,Anhidrosis
L748,Otros trastornos sudoríparos ecrinos
L749,"Trastorno sudoríparo ecrino, no especificado"
L750,Bromhidrosis
L751,Cromhidrosis
L752,Miliaria apocrina
L758,Otros trastornos sudoríparos apocrinos
L759,"Trastorno sudoríparo apocrino, no especificado"
L80X,Vitíligo
L810,Hiperpigmentación postinflamatoria
L811,Cloasma
L812,Efélide
L813,Manchas café con leche
L814,Otros tipos de hiperpigmentación melanodérmica
L815,"Leucodermia, no clasificada en otra parte"
L816,Otros trastornos de disminución de la formación de la melanina
L817,Dermatosis purpúrica pigmentada
L818,Otros trastornos especificados de la pigmentación
L819,"Trastorno de la pigmentación, no especificado"
L82X,Queratosis seborreica
L83X,Acantosis nigricans
L84X,Callos y callosidades
L850,Ictiosis adquirida
L851,Queratosis [queratodermia] palmar y plantar adquirida
L852,Queratosis punctata (palmar y plantar)
L853,Xerosis del cutis
L858,Otros engrosamientos epidérmicos especificados
L859,"Engrosamiento epidérmico, no especificado"
L86X,Queratoderma en enfermedades clasificadas en otra parte
L870,Queratosis folicular y parafolicular penetrante del cutis [Kyrle]
L871,Colagenosis perforante reactiva
L872,Elastosis serpiginosa perforante
